,Ville,Nombre de requetes mensuelles totales,Nombre etablissement booking,Score,Latitude,Longitude,geometry
106,sines,5500.0,9,611.1111111111111,37.956549,-8.8689639,POINT (-8.8689639 37.956549)
107,são félix da marinha,50.0,3,16.666666666666668,41.0305323,-8.6290322,POINT (-8.6290322 41.0305323)
108,são martinho do porto,5050.0,13,388.46153846153845,39.5135311,-9.1335905,POINT (-9.1335905 39.5135311)
109,são pedro da cadeira,0.0,3,0.0,39.0701787,-9.3716166,POINT (-9.3716166 39.0701787)
110,tanganheira,0.0,1,0.0,37.8532123,-8.7111282,POINT (-8.7111282 37.8532123)
111,tocha,500.0,2,250.0,40.3135812,-8.7522147,POINT (-8.7522147 40.3135812)
112,torreira,550.0,10,55.0,40.7604396,-8.7065433,POINT (-8.7065433 40.7604396)
113,trafaria,500.0,3,166.66666666666666,38.66186915,-9.226016510778402,POINT (-9.226016510778402 38.66186915)
114,viana do castelo,5500.0,59,93.22033898305084,41.8803257,-8.523255293554344,POINT (-8.523255293554344 41.8803257)
115,vieira de leiria,5050.0,3,1683.3333333333333,39.8695841,-8.9338519,POINT (-8.9338519 39.8695841)
116,vila do bispo,550.0,16,34.375,37.0831666,-8.9096544,POINT (-8.9096544 37.0831666)
117,vila do conde,5500.0,20,275.0,41.3540398,-8.7435403,POINT (-8.7435403 41.3540398)
118,vila nova de milfontes,5500.0,45,122.22222222222224,37.7252803,-8.7822865,POINT (-8.7822865 37.7252803)
119,vila praia de âncora,550.0,20,27.5,41.8135365,-8.8624681,POINT (-8.8624681 41.8135365)
120,vila real de santo antónio,5050.0,10,505.0,37.1946052,-7.4155628,POINT (-7.4155628 37.1946052)
121,vimeiro,5000.0,1,5000.0,39.4753711,-9.0172218,POINT (-9.0172218 39.4753711)
